Czas / s	Napiêcie / V
0	3,645
3	3,640
8	3,634
16	3,629
25	3,624
34	3,619
45	3,613
57	3,608
69	3,603
82	3,598
97	3,592
113	3,587
129	3,582
146	3,577
165	3,571
185	3,566
206	3,561
229	3,556
253	3,550
279	3,545
306	3,540
335	3,535
365	3,529
396	3,524
430	3,519
465	3,514
503	3,508
542	3,503
582	3,498
626	3,493
672	3,487
720	3,482
767	3,477
818	3,472
871	3,466
928	3,461
985	3,456
1042	3,451
1105	3,445
1167	3,440
1231	3,435
1295	3,430
1362	3,424
1429	3,419
1497	3,414
1570	3,409
1643	3,403
1716	3,398
1787	3,393
1861	3,388
1936	3,382
2011	3,377
2086	3,372
2165	3,367
2245	3,361
2322	3,356
2406	3,351
2489	3,346
2572	3,340
2658	3,335
2743	3,330
2832	3,325
2924	3,319
3013	3,314
3106	3,309
3196	3,304
3287	3,298
3382	3,293
3475	3,287
3564	3,282
3657	3,277
3749	3,272
3841	3,266
3932	3,261
4026	3,256
4118	3,251
4215	3,245
4312	3,240
4410	3,235
4505	3,230
4604	3,224
4704	3,219
4804	3,214
4908	3,209
5009	3,203
5115	3,198
5227	3,193
5337	3,188
5447	3,182
5564	3,177
5686	3,172
5807	3,167
5921	3,161
6061	3,156
6192	3,151
6326	3,146
6465	3,140
6608	3,135
6754	3,130
6901	3,125
7051	3,119
7201	3,114
7359	3,109
7510	3,104
7663	3,098
7818	3,093
7970	3,088
8116	3,083
8276	3,077
8429	3,072
8577	3,067
8729	3,062
8873	3,056
9022	3,051
9168	3,046
9319	3,041
9459	3,035
9604	3,030
9748	3,025
9894	3,020
10038	3,014
10177	3,009
10312	3,004
10459	2,999
10601	2,993
10743	2,988
10883	2,983
11020	2,978
11159	2,972
11297	2,967
11432	2,962
11570	2,957
11708	2,951
11850	2,946
11992	2,941
12133	2,936
12273	2,930
12418	2,925
12565	2,920
12704	2,915
12848	2,909
12996	2,904
13141	2,899
13283	2,894
13431	2,888
13579	2,883
13728	2,878
13875	2,873
14029	2,867
14182	2,862
14335	2,857
14492	2,852
14645	2,846
14798	2,841
14950	2,836
15105	2,831
15258	2,825
15423	2,820
15573	2,815
15734	2,810
15891	2,804
16045	2,799
16209	2,794
16367	2,789
16537	2,783
16689	2,778
16848	2,773
17008	2,768
17174	2,762
17337	2,757
17495	2,752
17658	2,747
17822	2,741
17987	2,736
18155	2,731
18316	2,726
18480	2,720
18644	2,715
18807	2,710
18979	2,705
19151	2,699
19319	2,694
19503	2,689
19683	2,684
19862	2,678
20042	2,673
20223	2,668
20403	2,663
20589	2,657
20785	2,652
20970	2,647
21158	2,641
21351	2,636
21554	2,631
21744	2,626
21939	2,620
22138	2,615
22336	2,610
22541	2,605
22737	2,599
22950	2,594
23154	2,589
23375	2,584
23598	2,578
23827	2,573
24064	2,568
24311	2,563
24548	2,557
24801	2,552
25059	2,547
25315	2,542
25568	2,536
25838	2,531
26094	2,526
26358	2,521
26611	2,515
26873	2,510
27133	2,505
27410	2,500
27676	2,494
27953	2,489
28241	2,484
28532	2,479
28828	2,473
29126	2,468
29438	2,463
29761	2,458
30086	2,452
30414	2,447
30749	2,442
31096	2,437
31454	2,432
31764	2,427
32123	2,422
32481	2,417
32840	2,413
33180	2,408
33538	2,403
33897	2,399
34255	2,394
34614	2,390
34973	2,386
35331	2,382
35690	2,378
36048	2,373
36407	2,370
36766	2,366
37124	2,362
37483	2,358
37841	2,354
38200	2,350
38559	2,347
38917	2,343
39276	2,340
39634	2,336
39993	2,333
40352	2,329
40710	2,326
41069	2,323
41427	2,320
41786	2,316
42145	2,313
42503	2,311
42862	2,308
43221	2,305
43579	2,301
43938	2,299
44296	2,296
44655	2,293
45014	2,290
45372	2,288
45731	2,285
46089	2,283
46448	2,280
46807	2,277
47165	2,274
47524	2,272
47882	2,270
48241	2,267
48600	2,265
48958	2,262
49317	2,260
49676	2,257
50034	2,256
50393	2,253
50751	2,251
51110	2,249
51469	2,247
51827	2,244
52186	2,242
52544	2,240
52903	2,238
53262	2,236
53620	2,234
53979	2,232
54338	2,229
54696	2,227
55055	2,225
55413	2,223
55772	2,222
56131	2,219
56489	2,217
56848	2,215
57206	2,213
57565	2,211
57924	2,209
58282	2,207
58641	2,205
58999	2,203
59358	2,201
59717	2,199
60075	2,197
60434	2,194
60793	2,192
61151	2,190
61510	2,189
61868	2,186
62227	2,184
62586	2,182
62944	2,180
63303	2,178
63661	2,176
64020	2,173
64379	2,172
64737	2,169
65096	2,167
65454	2,165
65813	2,163
66172	2,161
66530	2,159
66889	2,156
67248	2,154
67606	2,152
67965	2,150
68323	2,148
68682	2,145
69041	2,143
69399	2,141
69758	2,138
70116	2,136
70475	2,134
70834	2,131
71192	2,129
71551	2,127
71910	2,125
72268	2,122
72627	2,120
72985	2,118
73344	2,115
73703	2,113
74061	2,110
74420	2,108
74778	2,106
75137	2,103
75496	2,101
75854	2,099
76213	2,096
76572	2,094
76930	2,091
77289	2,089
77647	2,087
78006	2,084
78365	2,081
78723	2,079
79082	2,076
79441	2,074
79799	2,071
80158	2,068
80516	2,066
80875	2,063
81234	2,060
81592	2,058
81951	2,055
82310	2,053
82668	2,050
83027	2,048
83385	2,045
83744	2,043
84103	2,040
84461	2,037
84820	2,035
85178	2,032
85537	2,029
85896	2,027
86254	2,024
86613	2,021
86972	2,018
87330	2,016
87689	2,013
88047	2,011
88406	2,008
88765	2,005
89123	2,003
89482	2,000
89841	1,997
90199	1,994
90558	1,991
90916	1,989
91275	1,986
91634	1,984
91992	1,981
92351	1,979
92710	1,975
93068	1,973
93427	1,970
93785	1,968
94144	1,965
94503	1,962
94861	1,959
95220	1,957
95578	1,954
95937	1,951
96296	1,949
96654	1,946
97013	1,943
97372	1,941
97730	1,938
98089	1,935
98447	1,933
98806	1,930
99165	1,927
99523	1,924
99882	1,922
100241	1,920
100599	1,917
100958	1,914
101316	1,911
101675	1,909
102034	1,906
102392	1,903
102751	1,901
103109	1,898
103468	1,895
103827	1,893
104185	1,890
104544	1,888
104902	1,886
105261	1,883
105620	1,880
105978	1,878
106337	1,875
106695	1,873
107054	1,870
107413	1,868
107771	1,865
108130	1,863
108488	1,861
108847	1,858
109206	1,856
109564	1,853
109923	1,851
110282	1,849
110640	1,847
110999	1,844
111357	1,842
111716	1,839
112075	1,837
112433	1,835
112792	1,833
113150	1,831
113509	1,829
113868	1,827
114226	1,825
114585	1,822
114943	1,820
115302	1,818
115661	1,817
