r [A]	U [eV]
0,5	18,02268411
0,51	17,3137488
0,52	16,62619051
0,53	15,95941952
0,54	15,31286175
0,55	14,68595838
0,56	14,07816544
0,57	13,48895347
0,58	12,91780705
0,59	12,36422453
0,6	11,82771759
0,61	11,30781096
0,62	10,80404203
0,63	10,31596053
0,64	9,843128214
0,65	9,385118558
0,66	8,941516425
0,67	8,511917785
0,68	8,09592942
0,69	7,693168639
0,7	7,303263006
0,71	6,925850068
0,72	6,560577095
0,73	6,207100825
0,74	5,865087214
0,75	5,534211195
0,76	5,214156444
0,77	4,904615148
0,78	4,605287784
0,79	4,315882897
0,8	4,036116893
0,81	3,76571383
0,82	3,504405217
0,83	3,251929817
0,84	3,008033458
0,85	2,772468845
0,86	2,54499538
0,87	2,325378988
0,88	2,11339194
0,89	1,90881269
0,9	1,711425709
0,91	1,521021329
0,92	1,337395586
0,93	1,160350072
0,94	0,989691785
0,95	0,825232989
0,96	0,666791074
0,97	0,514188418
0,98	0,367252261
0,99	0,225814569
1	0,089711914
1,01	-0,041214649
1,02	-0,167119702
1,03	-0,288153578
1,04	-0,404462476
1,05	-0,516188568
1,06	-0,623470107
1,07	-0,726441534
1,08	-0,825233571
1,09	-0,919973332
1,1	-1,010784407
1,11	-1,097786963
1,12	-1,181097834
1,13	-1,260830607
1,14	-1,337095713
1,15	-1,410000505
1,16	-1,479649348
1,17	-1,546143691
1,18	-1,60958215
1,19	-1,670060582
1,2	-1,727672157
1,21	-1,782507433
1,22	-1,834654426
1,23	-1,884198673
1,24	-1,931223306
1,25	-1,975809109
1,26	-2,018034586
1,27	-2,057976022
1,28	-2,095707539
1,29	-2,131301157
1,3	-2,164826852
1,31	-2,196352606
1,32	-2,225944465
1,33	-2,253666591
1,34	-2,279581309
1,35	-2,303749162
1,36	-2,326228954
1,37	-2,347077802
1,38	-2,366351176
1,39	-2,384102948
1,4	-2,400385434
1,41	-2,415249436
1,42	-2,428744283
1,43	-2,44091787
1,44	-2,4518167
1,45	-2,461485918
1,46	-2,469969351
1,47	-2,477309542
1,48	-2,483547786
1,49	-2,488724164
1,5	-2,492877575
1,51	-2,496045772
1,52	-2,498265386
1,53	-2,499571966
1,54	-2,5
1,55	-2,499582951
1,56	-2,498353281
1,57	-2,496342479
1,58	-2,493581091
1,59	-2,49009874
1,6	-2,485924157
1,61	-2,481085203
1,62	-2,475608895
1,63	-2,469521426
1,64	-2,46284819
1,65	-2,455613805
1,66	-2,447842131
1,67	-2,439556297
1,68	-2,430778715
1,69	-2,421531104
1,7	-2,411834507
1,71	-2,401709313
1,72	-2,39117527
1,73	-2,38025151
1,74	-2,368956559
1,75	-2,35730836
